,Education,Marital_Status,Yearly_Income,Recency_(days),Wines,Fruits,Meat,Fish,Sweets,Gold,Discount_Deal,Web_Deal,Catalog_Deal,Store_Deal,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Client_since_(month),Spending,Total_Deal_nondiscount,Children,total_cmp_accepted,Clusters,HasChildren
10,Bachelor,Married,52720.4,11,5,5,6,0,2,1,1,1,0,2,7,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,31,13.7,19,3,1,0,3,yes
11,Undergraduate,Married,7500.0,59,6,16,11,11,1,16,1,2,0,3,8,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,38,25.9,61,5,0,0,4,no
12,Bachelor,Divorced,63033.0,82,194,61,480,225,112,30,1,3,4,8,2,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,55,13.7,1102,15,0,0,3,no
13,Master,Divorced,59354.0,53,233,2,53,3,5,14,3,6,1,5,6,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,62,13.7,310,12,2,0,3,yes
14,Bachelor,Married,17323.0,38,3,14,17,6,1,5,1,1,0,3,8,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,27,27.1,46,4,0,0,4,no
15,PhD,Single,82800.0,23,1006,22,115,59,68,45,1,7,6,12,3,not_accepted,not_accepted,accepted,accepted,not_accepted,no_complain,accepted,68,25.6,1315,25,0,2,1,no
16,Bachelor,Married,41850.0,51,53,5,19,2,13,4,3,3,0,3,8,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,34,24.6,96,6,2,0,2,yes
17,Bachelor,Couple,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,68,28.4,317,11,0,0,2,no
18,Master,Married,76995.0,91,1012,80,498,0,16,176,2,11,4,9,5,not_accepted,not_accepted,not_accepted,accepted,not_accepted,no_complain,not_accepted,65,21.4,1782,24,1,1,1,yes
19,Undergraduate,Single,33812.0,86,4,17,19,30,24,39,2,2,1,3,6,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,29,34.2,133,6,1,0,2,yes
20,Bachelor,Married,37040.0,41,86,2,73,69,38,48,1,4,2,5,8,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,32,29.2,316,11,0,0,2,no
21,Bachelor,Married,2447.0,42,1,1,1725,1,1,1,15,0,28,0,1,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,35,19.3,1730,28,1,0,4,yes
22,PhD,Married,58607.0,63,867,0,86,0,0,19,3,2,3,9,8,not_accepted,accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,65,24.6,972,14,1,1,3,yes
23,PhD,Married,65324.0,0,384,0,102,21,32,5,3,6,2,9,4,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,60,2.0,544,17,1,0,3,yes
24,Bachelor,Couple,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,63,21.8,444,13,1,0,2,yes
25,Bachelor,Single,18589.0,89,6,4,25,15,12,13,2,2,1,3,7,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,45,23.3,75,6,0,0,4,no
26,Bachelor,Married,53359.0,4,173,4,30,3,6,41,4,5,1,4,7,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,38,19.4,257,10,2,0,3,yes
27,Bachelor,Single,52720.4,19,5,1,3,3,263,362,0,27,0,0,1,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,28,22.6,637,27,1,0,3,yes
28,Bachelor,Married,38360.0,26,36,2,42,20,21,10,2,2,1,4,3,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,25,19.3,131,7,1,0,2,yes
29,PhD,Married,84618.0,96,684,100,801,21,66,0,1,6,9,10,2,not_accepted,not_accepted,accepted,not_accepted,not_accepted,no_complain,not_accepted,49,13.5,1672,25,0,1,1,no
30,Master,Divorced,10979.0,34,8,4,10,2,2,4,2,3,0,3,5,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,25,7.4,30,6,0,0,4,no
31,Master,Couple,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,51,14.0,318,10,0,0,2,no
32,Bachelor,Couple,40548.0,31,110,0,5,2,0,3,2,2,1,4,5,not_accepted,accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,44,27.1,120,7,1,1,2,yes
33,PhD,Divorced,46610.0,8,96,12,96,33,22,43,6,4,1,6,6,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,accepted,62,26.4,302,11,2,0,2,yes
34,Master,Married,68657.0,4,482,34,471,119,68,22,1,3,5,9,7,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,68,22.6,1196,17,0,0,3,no
35,Master,Single,49389.0,55,40,0,19,2,1,3,1,2,0,3,7,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,63,16.3,65,5,2,0,2,yes
36,PhD,Married,67353.0,37,702,17,151,0,8,35,5,5,6,12,2,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,44,12.2,913,23,1,0,3,yes
37,Undergraduate,Married,23718.0,76,6,3,14,15,7,36,3,3,1,2,7,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,38,23.0,81,6,1,0,4,yes
38,Bachelor,Single,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,41,2.0,67,5,1,0,2,yes
39,PhD,Divorced,48948.0,53,437,8,206,160,49,42,2,7,10,5,6,accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,accepted,71,24.3,902,22,0,1,2,no
40,Bachelor,Married,80011.0,3,421,76,536,82,178,102,2,8,6,5,4,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,34,20.4,1395,19,1,0,1,yes
41,Master,Married,20559.0,88,13,1,29,3,0,7,2,2,0,3,8,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,29,13.1,53,5,1,0,4,yes
42,Bachelor,Couple,21994.0,4,9,0,6,3,1,3,1,0,0,3,5,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,57,24.6,22,3,1,0,4,yes
43,PhD,Single,56145.3,80,81,11,50,3,2,39,1,1,3,4,2,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,55,20.0,186,8,0,0,3,no
44,Master,Married,7500.0,19,3,1,10,3,2,12,3,2,0,3,5,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,39,23.0,31,5,1,0,4,yes
45,Bachelor,Single,79941.0,72,123,164,266,227,30,174,1,2,4,9,1,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,38,6.2,984,15,0,0,1,no
46,Undergraduate,Married,7500.0,24,3,18,14,15,22,50,3,3,1,3,9,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,accepted,18,28.0,122,7,0,0,4,no
47,Bachelor,Couple,41728.0,92,13,6,15,3,5,13,1,2,0,2,10,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,46,19.5,55,4,1,0,2,yes
48,Bachelor,Single,52720.4,96,48,5,48,6,10,7,3,2,1,4,6,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,63,12.1,124,7,3,0,3,yes
49,PhD,Married,72550.0,39,826,50,317,50,38,38,9,5,2,12,8,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,60,29.1,1319,19,2,0,1,yes
50,Bachelor,Single,65486.0,29,245,19,125,37,67,14,1,4,2,10,2,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,57,0.9,507,16,1,0,3,yes
51,Master,Married,79143.0,2,650,37,780,27,167,32,1,6,9,13,3,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,50,26.1,1693,28,0,0,1,no
52,Bachelor,Single,35790.0,54,12,6,20,30,1,3,2,2,0,3,7,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,37,23.3,72,5,1,0,2,yes
53,Bachelor,Divorced,82582.0,54,510,120,550,156,40,241,1,4,9,7,1,accepted,not_accepted,not_accepted,accepted,not_accepted,no_complain,accepted,37,5.9,1617,20,0,2,1,no
54,Bachelor,Married,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,36,13.0,606,16,2,0,3,yes
55,Master,Couple,82384.0,55,984,51,432,180,120,190,1,3,10,13,1,not_accepted,not_accepted,accepted,not_accepted,not_accepted,no_complain,accepted,59,25.7,1957,26,0,1,1,no
56,Bachelor,Divorced,70287.0,30,295,35,482,121,120,40,1,5,5,10,3,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,accepted,48,23.2,1093,20,0,0,3,no
57,Bachelor,Single,27938.0,31,13,0,8,2,1,5,1,1,0,4,3,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,26,8.2,29,5,1,0,4,yes
58,Bachelor,Single,52720.4,57,11,3,22,2,2,6,2,2,0,3,6,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,32,18.7,46,5,1,0,3,yes
59,PhD,Married,55954.0,63,447,0,28,0,0,43,3,8,2,6,7,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,46,10.1,518,16,1,0,3,yes
60,Master,Single,75777.0,12,712,26,538,69,13,80,1,3,6,11,1,not_accepted,accepted,accepted,not_accepted,not_accepted,no_complain,accepted,32,21.1,1438,20,0,2,1,no
61,Bachelor,Couple,66653.0,18,452,18,102,16,18,6,4,4,2,12,3,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,39,30.2,612,18,2,0,3,yes
62,Bachelor,Single,61823.0,26,523,7,134,37,14,169,4,8,2,10,7,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,62,22.7,884,20,1,0,3,yes
63,PhD,Single,67680.0,8,546,0,48,0,6,6,1,7,3,8,5,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,63,14.0,606,18,1,0,3,yes
64,Bachelor,Couple,70666.0,29,398,40,367,119,122,30,1,7,4,4,4,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,66,18.9,1076,15,0,0,3,no
65,Bachelor,Married,25721.0,75,1,3,6,3,6,15,1,1,1,2,7,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,accepted,43,19.6,34,4,1,0,4,yes
66,Bachelor,Couple,32474.0,0,10,0,1,0,0,0,1,1,0,2,7,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,47,1.9,11,3,2,0,4,yes
67,Undergraduate,Single,88194.0,19,688,14,309,201,24,38,1,11,10,10,5,accepted,not_accepted,not_accepted,accepted,not_accepted,no_complain,accepted,35,9.6,1274,31,1,2,1,yes
68,Bachelor,Couple,69096.0,4,247,49,159,7,82,109,1,5,2,10,4,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,56,15.3,653,17,1,0,3,yes
69,Bachelor,Couple,74854.0,90,856,59,487,58,29,73,7,2,5,5,5,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,44,17.1,1562,12,3,0,1,yes
70,Master,Married,66991.0,1,496,36,460,189,60,12,3,4,8,6,3,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,60,26.1,1253,18,0,0,3,no
71,Undergraduate,Married,47633.2,25,25,3,43,17,4,17,3,3,0,3,8,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,41,27.9,109,6,1,0,2,yes
72,Bachelor,Married,65031.0,29,258,107,291,84,37,86,4,10,3,13,7,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,55,21.8,863,26,1,0,3,yes
73,PhD,Married,60631.0,88,565,6,65,0,6,19,5,9,2,8,7,not_accepted,accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,39,20.2,661,19,2,1,3,yes
74,Bachelor,Married,28332.0,58,14,10,13,4,15,9,1,2,1,4,2,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,62,8.2,65,7,0,0,4,no
75,Bachelor,Divorced,40246.0,68,2,1,6,2,1,1,1,1,0,2,6,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,37,24.7,13,3,1,0,2,yes
76,Master,Married,75251.0,34,721,111,925,97,18,18,1,7,6,5,5,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,accepted,42,28.5,1890,18,0,0,1,no
77,Bachelor,Single,75825.0,40,1032,105,779,137,105,51,0,5,8,9,4,accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,accepted,38,25.0,2209,22,0,1,1,no
78,Undergraduate,Couple,26326.0,12,1,0,5,0,3,9,1,0,0,3,3,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,complain,not_accepted,38,21.0,18,3,0,0,4,no
79,Bachelor,Couple,56046.0,9,577,0,64,0,0,51,2,10,1,8,8,accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,accepted,49,23.3,692,19,0,1,3,no
80,Bachelor,Single,29760.0,87,64,4,68,7,5,17,4,3,1,4,8,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,29,28.5,165,8,1,0,4,yes
81,Bachelor,Married,26304.0,5,4,1,5,2,0,4,1,1,0,2,7,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,45,18.5,16,3,1,0,4,yes
82,Undergraduate,Married,23559.0,87,25,5,19,7,0,23,3,3,0,3,7,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,41,22.1,79,6,1,0,4,yes
83,Master,Couple,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,51,14.0,318,10,0,0,2,no
84,Bachelor,Divorced,81361.0,18,163,23,424,27,65,76,1,3,10,13,1,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,27,10.3,778,26,0,0,1,no
85,Bachelor,Married,29440.0,95,17,8,14,10,4,3,2,1,0,4,7,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,54,13.9,56,5,2,0,4,yes
86,Master,Married,36138.0,48,130,0,16,0,0,5,5,3,1,4,7,not_accepted,accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,44,17.8,151,8,2,1,2,yes
87,Bachelor,Single,50388.0,3,292,6,37,0,3,34,4,6,1,6,7,not_accepted,accepted,not_accepted,accepted,not_accepted,no_complain,accepted,57,7.2,372,13,1,2,2,yes
88,Bachelor,Married,79593.0,70,350,60,568,110,133,145,1,5,6,7,2,not_accepted,not_accepted,accepted,not_accepted,not_accepted,no_complain,not_accepted,41,0.9,1366,18,0,1,1,no
89,Bachelor,Couple,54178.0,79,135,9,39,4,0,7,1,2,2,5,2,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,47,11.5,194,9,1,0,3,yes
90,PhD,Married,56145.3,4,230,42,192,49,37,53,12,7,2,8,9,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,57,25.7,603,17,3,0,3,yes
91,Bachelor,Single,52720.4,45,7,0,8,2,0,1,1,1,0,2,7,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,57,7.3,18,3,2,0,3,yes
92,Master,Couple,52917.5,87,445,37,359,98,28,18,1,2,4,8,1,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,41,13.4,985,14,0,0,3,no
93,Master,Single,42394.0,69,15,2,10,0,1,4,1,1,0,3,7,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,42,9.4,32,4,1,0,2,yes
94,PhD,Married,23626.0,84,27,2,14,0,0,0,3,3,1,3,5,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,44,7.4,43,7,1,0,4,yes
95,Bachelor,Married,30096.0,30,5,3,11,12,5,9,1,2,0,3,6,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,31,7.4,45,5,1,0,4,yes
96,Bachelor,Single,47916.0,72,505,0,26,0,0,75,5,7,4,6,6,not_accepted,accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,54,25.6,606,17,1,1,2,yes
97,Bachelor,Divorced,51813.0,37,51,2,7,0,1,2,2,2,0,3,7,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,42,14.1,63,5,2,0,2,yes
98,Undergraduate,Married,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,not_accepted,not_accepted,not_accepted,accepted,not_accepted,no_complain,not_accepted,63,23.9,978,24,0,1,1,no
99,PhD,Married,50150.0,32,135,46,92,65,61,11,2,5,2,7,5,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,31,18.6,410,14,0,0,2,no
100,Undergraduate,Single,47823.0,0,53,1,5,2,1,10,2,2,0,3,8,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,54,17.5,72,5,1,0,2,yes
101,PhD,Single,34554.0,43,41,1,6,2,0,5,2,2,0,3,6,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,55,9.2,55,5,1,0,2,yes
102,Bachelor,Couple,85693.0,59,386,172,183,185,132,111,2,9,5,11,5,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,35,20.7,1169,25,1,0,1,yes
103,PhD,Married,65846.0,68,562,81,276,80,40,81,1,6,3,6,4,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,69,19.8,1120,15,0,0,3,no
104,Bachelor,Married,87195.0,35,217,76,690,50,26,38,1,3,11,5,1,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,accepted,55,4.9,1097,19,0,0,1,no
105,Undergraduate,Couple,24594.0,94,1,3,6,10,0,9,1,1,0,3,5,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,35,14.8,29,4,1,0,4,yes
106,Bachelor,Married,49096.0,15,144,1,32,2,1,7,4,4,1,4,7,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,50,15.4,187,9,2,0,2,yes
107,Bachelor,Married,52413.0,56,295,106,271,75,98,65,4,6,4,12,6,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,45,23.2,910,22,2,0,3,yes
108,Bachelor,Single,38557.0,17,76,3,31,4,4,27,2,3,1,3,7,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,36,24.7,145,7,1,0,2,yes
109,Master,Married,89058.0,18,454,194,106,31,22,43,1,5,4,4,2,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,54,30.1,850,13,0,0,1,no
110,Bachelor,Couple,77298.0,46,425,115,292,23,35,79,1,6,6,11,3,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,35,22.9,969,23,1,0,1,yes
111,PhD,Single,68126.0,40,1332,17,311,23,51,86,1,7,4,5,9,not_accepted,accepted,not_accepted,not_accepted,not_accepted,no_complain,accepted,23,27.0,1820,16,0,1,3,no
112,Master,Couple,57288.0,27,527,0,21,0,0,60,3,8,1,8,6,not_accepted,accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,51,6.3,608,17,1,1,3,yes
113,Bachelor,Single,86037.0,95,490,44,125,29,20,22,1,6,7,11,3,not_accepted,accepted,accepted,not_accepted,not_accepted,no_complain,accepted,23,23.3,730,24,0,2,1,no
114,PhD,Married,43974.0,19,378,0,101,0,0,72,5,6,4,6,7,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,34,25.0,551,16,1,0,2,yes
115,Bachelor,Single,50785.0,27,64,1,21,0,1,27,2,2,1,3,6,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,52,14.9,114,6,2,0,2,yes
116,Bachelor,Married,90765.0,25,547,99,812,151,82,33,0,4,6,5,1,not_accepted,not_accepted,accepted,accepted,not_accepted,no_complain,not_accepted,44,11.4,1724,15,0,2,1,no
117,Undergraduate,Married,36550.0,74,47,90,94,123,103,120,5,9,1,5,9,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,36,22.7,577,15,1,0,2,yes
118,Undergraduate,Couple,30753.0,85,12,5,25,0,9,30,2,1,1,3,5,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,47,14.0,81,5,2,0,4,yes
119,Bachelor,Couple,21918.0,37,1,6,7,11,5,3,2,2,0,3,6,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,45,13.7,33,5,1,0,4,yes
120,Master,Couple,56129.0,65,320,48,133,39,72,48,4,6,2,10,4,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,61,18.6,660,18,1,0,3,yes
121,Master,Single,32557.0,13,34,3,29,0,4,10,3,2,1,3,5,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,accepted,47,10.3,80,6,1,0,4,yes
122,Master,Married,19510.0,63,9,0,7,3,4,7,2,1,0,3,7,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,29,21.0,30,4,2,0,4,yes
123,Bachelor,Divorced,30992.0,83,17,0,14,7,3,2,1,1,0,3,7,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,38,20.6,43,4,1,0,4,yes
124,Bachelor,Single,101970.0,69,722,27,102,44,72,168,0,6,8,13,2,not_accepted,accepted,accepted,accepted,not_accepted,no_complain,accepted,31,13.1,1135,27,0,3,1,no
125,Undergraduate,Couple,71488.0,87,162,33,124,40,28,172,2,3,4,7,1,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,49,22.7,559,14,0,0,3,no
126,Bachelor,Single,79607.0,37,450,133,951,173,0,216,1,3,6,6,1,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,accepted,30,20.6,1923,15,0,0,1,no
127,Master,Married,54348.0,51,70,0,16,0,0,4,2,2,0,4,6,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,61,4.9,90,6,2,0,3,yes
128,PhD,Married,56145.3,23,352,0,27,10,0,15,3,6,1,7,6,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,53,14.0,404,14,1,0,3,yes
129,PhD,Couple,77376.0,72,492,19,110,16,12,12,4,6,3,10,4,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,58,2.9,661,19,2,0,1,yes
130,Bachelor,Married,62998.0,10,120,58,73,65,89,58,5,5,4,5,5,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,62,15.2,463,14,1,0,3,yes
131,Master,Single,61331.0,42,534,5,47,0,5,41,5,11,1,6,8,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,56,15.1,632,18,2,0,3,yes
132,Bachelor,Married,73448.0,10,236,106,189,23,41,130,1,7,2,9,4,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,45,3.0,725,18,0,0,1,no
133,Bachelor,Married,52720.4,96,231,65,196,38,71,124,1,6,5,7,4,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,51,13.9,725,18,1,0,3,yes
134,PhD,Married,41551.0,51,220,0,33,3,0,23,5,5,1,5,8,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,50,16.8,279,11,2,0,2,yes
135,PhD,Couple,62981.0,21,796,14,590,38,44,0,1,4,5,13,3,not_accepted,accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,47,21.8,1482,22,0,1,3,no
136,Undergraduate,Divorced,9548.0,31,0,1,3,10,6,9,2,1,0,3,8,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,38,29.2,29,4,1,0,4,yes
