,Education,Marital_Status,Yearly_Income,Recency_(days),Wines,Fruits,Meat,Fish,Sweets,Gold,Discount_Deal,Web_Deal,Catalog_Deal,Store_Deal,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Client_since_(month),Spending,Total_Deal_nondiscount,Children,total_cmp_accepted
16,0,2,41850.0,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,34,24.6,96,6,2,0
17,0,0,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,68,28.4,317,11,0,0
18,1,2,76995.0,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,65,21.4,1782,24,1,1
19,3,3,33812.0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,29,34.2,133,6,1,0
20,0,2,37040.0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,32,29.2,316,11,0,0
21,0,2,2447.0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,35,19.3,1730,28,1,0
22,2,2,58607.0,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,65,24.6,972,14,1,1
23,2,2,65324.0,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,60,2.0,544,17,1,0
24,0,0,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,63,21.8,444,13,1,0
25,0,3,18589.0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,45,23.3,75,6,0,0
26,0,2,53359.0,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,38,19.4,257,10,2,0
27,0,3,52720.4,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,28,22.6,637,27,1,0
28,0,2,38360.0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,25,19.3,131,7,1,0
29,2,2,84618.0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,49,13.5,1672,25,0,1
30,1,1,10979.0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,25,7.4,30,6,0,0
31,1,0,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,51,14.0,318,10,0,0
32,0,0,40548.0,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,44,27.1,120,7,1,1
33,2,1,46610.0,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,62,26.4,302,11,2,0
34,1,2,68657.0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,68,22.6,1196,17,0,0
35,1,3,49389.0,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,63,16.3,65,5,2,0
36,2,2,67353.0,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,44,12.2,913,23,1,0
37,3,2,23718.0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,38,23.0,81,6,1,0
38,0,3,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,41,2.0,67,5,1,0
39,2,1,48948.0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,71,24.3,902,22,0,1
40,0,2,80011.0,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,34,20.4,1395,19,1,0
41,1,2,20559.0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,29,13.1,53,5,1,0
42,0,0,21994.0,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,57,24.6,22,3,1,0
43,2,3,56145.3,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,55,20.0,186,8,0,0
44,1,2,7500.0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,39,23.0,31,5,1,0
45,0,3,79941.0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,38,6.2,984,15,0,0
46,3,2,7500.0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,18,28.0,122,7,0,0
47,0,0,41728.0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,46,19.5,55,4,1,0
48,0,3,52720.4,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,63,12.1,124,7,3,0
49,2,2,72550.0,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,60,29.1,1319,19,2,0
50,0,3,65486.0,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,57,0.9,507,16,1,0
51,1,2,79143.0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,50,26.1,1693,28,0,0
52,0,3,35790.0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,37,23.3,72,5,1,0
53,0,1,82582.0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,37,5.9,1617,20,0,2
54,0,2,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,36,13.0,606,16,2,0
55,1,0,82384.0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,59,25.7,1957,26,0,1
56,0,1,70287.0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,48,23.2,1093,20,0,0
57,0,3,27938.0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,26,8.2,29,5,1,0
58,0,3,52720.4,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,32,18.7,46,5,1,0
59,2,2,55954.0,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,46,10.1,518,16,1,0
60,1,3,75777.0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,32,21.1,1438,20,0,2
61,0,0,66653.0,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,39,30.2,612,18,2,0
62,0,3,61823.0,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,62,22.7,884,20,1,0
63,2,3,67680.0,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,63,14.0,606,18,1,0
64,0,0,70666.0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,66,18.9,1076,15,0,0
65,0,2,25721.0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,43,19.6,34,4,1,0
66,0,0,32474.0,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,47,1.9,11,3,2,0
67,3,3,88194.0,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,35,9.6,1274,31,1,2
68,0,0,69096.0,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,56,15.3,653,17,1,0
69,0,0,74854.0,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,44,17.1,1562,12,3,0
70,1,2,66991.0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,60,26.1,1253,18,0,0
71,3,2,47633.2,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,41,27.9,109,6,1,0
72,0,2,65031.0,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,55,21.8,863,26,1,0
73,2,2,60631.0,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,39,20.2,661,19,2,1
74,0,2,28332.0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,62,8.2,65,7,0,0
75,0,1,40246.0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,37,24.7,13,3,1,0
76,1,2,75251.0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,42,28.5,1890,18,0,0
77,0,3,75825.0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,38,25.0,2209,22,0,1
78,3,0,26326.0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,38,21.0,18,3,0,0
79,0,0,56046.0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,49,23.3,692,19,0,1
80,0,3,29760.0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,29,28.5,165,8,1,0
81,0,2,26304.0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,45,18.5,16,3,1,0
82,3,2,23559.0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,41,22.1,79,6,1,0
83,1,0,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,51,14.0,318,10,0,0
84,0,1,81361.0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,27,10.3,778,26,0,0
85,0,2,29440.0,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,54,13.9,56,5,2,0
86,1,2,36138.0,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,44,17.8,151,8,2,1
87,0,3,50388.0,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,57,7.2,372,13,1,2
88,0,2,79593.0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,41,0.9,1366,18,0,1
89,0,0,54178.0,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,47,11.5,194,9,1,0
90,2,2,56145.3,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,57,25.7,603,17,3,0
91,0,3,52720.4,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,57,7.3,18,3,2,0
92,1,0,52917.5,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,41,13.4,985,14,0,0
93,1,3,42394.0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,42,9.4,32,4,1,0
94,2,2,23626.0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,44,7.4,43,7,1,0
95,0,2,30096.0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,31,7.4,45,5,1,0
96,0,3,47916.0,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,54,25.6,606,17,1,1
97,0,1,51813.0,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,42,14.1,63,5,2,0
98,3,2,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,63,23.9,978,24,0,1
99,2,2,50150.0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,31,18.6,410,14,0,0
100,3,3,47823.0,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,54,17.5,72,5,1,0
101,2,3,34554.0,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,55,9.2,55,5,1,0
102,0,0,85693.0,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,35,20.7,1169,25,1,0
103,2,2,65846.0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,69,19.8,1120,15,0,0
104,0,2,87195.0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,55,4.9,1097,19,0,0
105,3,0,24594.0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,35,14.8,29,4,1,0
106,0,2,49096.0,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,50,15.4,187,9,2,0
107,0,2,52413.0,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,45,23.2,910,22,2,0
108,0,3,38557.0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,36,24.7,145,7,1,0
109,1,2,89058.0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,54,30.1,850,13,0,0
110,0,0,77298.0,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,35,22.9,969,23,1,0
111,2,3,68126.0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,23,27.0,1820,16,0,1
112,1,0,57288.0,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,51,6.3,608,17,1,1
113,0,3,86037.0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,23,23.3,730,24,0,2
114,2,2,43974.0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,34,25.0,551,16,1,0
115,0,3,50785.0,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,52,14.9,114,6,2,0
116,0,2,90765.0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,44,11.4,1724,15,0,2
117,3,2,36550.0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,36,22.7,577,15,1,0
118,3,0,30753.0,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,47,14.0,81,5,2,0
119,0,0,21918.0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,45,13.7,33,5,1,0
120,1,0,56129.0,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,61,18.6,660,18,1,0
121,1,3,32557.0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,47,10.3,80,6,1,0
122,1,2,19510.0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,29,21.0,30,4,2,0
123,0,1,30992.0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,38,20.6,43,4,1,0
124,0,3,101970.0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,31,13.1,1135,27,0,3
125,3,0,71488.0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,49,22.7,559,14,0,0
126,0,3,79607.0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,30,20.6,1923,15,0,0
127,1,2,54348.0,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,61,4.9,90,6,2,0
128,2,2,56145.3,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,53,14.0,404,14,1,0
129,2,0,77376.0,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,58,2.9,661,19,2,0
130,0,2,62998.0,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,62,15.2,463,14,1,0
131,1,3,61331.0,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,56,15.1,632,18,2,0
132,0,2,73448.0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,45,3.0,725,18,0,0
133,0,2,52720.4,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0,51,13.9,725,18,1,0
134,2,2,41551.0,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,50,16.8,279,11,2,0
135,2,0,62981.0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,47,21.8,1482,22,0,1
136,3,1,9548.0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,38,29.2,29,4,1,0
137,2,2,33762.0,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,55,18.1,106,6,3,0
138,2,3,35860.0,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,41,7.5,49,4,2,1
139,2,1,36921.0,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,49,17.4,38,5,2,0
140,1,3,92859.0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,22,26.8,2077,21,0,0
141,1,0,65104.0,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,38,13.7,1053,15,1,0
142,0,2,86111.0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,52,20.7,1385,22,0,0
143,2,3,68352.0,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,40,16.3,871,22,1,0
144,0,0,41883.0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,26,21.7,312,9,1,0
145,0,2,59809.0,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,38,26.8,877,12,2,0
146,0,2,23957.0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,39,26.5,68,5,1,0
147,0,0,38547.0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,33,16.3,22,3,1,0
148,3,2,35688.0,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,41,28.7,211,9,3,0
149,1,2,49605.0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,48,6.4,127,7,0,0
150,1,2,59354.0,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,61,8.4,459,15,2,0
151,0,2,65747.0,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,45,6.0,460,15,1,1
152,3,0,46344.0,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,42,24.9,429,13,1,0
153,0,3,34176.0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,26,0.9,89,7,1,0
154,2,0,61010.0,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,62,28.1,1021,24,1,0
155,0,0,69372.0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,65,22.7,1381,20,0,2
156,0,3,49967.0,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,56,17.0,306,12,1,0
157,0,3,60199.0,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,36,12.9,18,3,3,0
158,0,0,55375.0,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,37,14.7,162,8,1,0
159,0,3,80317.0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,59,16.6,1231,17,0,0
160,1,3,30523.0,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,56,24.1,13,3,3,0
161,2,2,70356.0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,69,32.1,1706,25,0,0
162,0,2,23228.0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,30,8.1,121,7,1,0
163,2,1,74165.0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,39,24.2,1293,19,0,0
164,2,2,157243.0,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,0,41,12.1,1608,22,1,0
165,0,0,43482.0,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,48,13.8,88,6,3,0
166,0,1,62551.0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,61,13.6,421,17,0,1
167,0,1,52332.0,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,55,16.3,259,11,0,1
168,0,3,66951.0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,26,22.9,1117,14,0,0
169,0,0,26091.0,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,57,10.3,89,6,2,0
170,0,0,33456.0,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,49,8.5,36,4,2,0
171,0,2,28718.0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,32,17.9,57,5,1,0
172,0,2,50447.0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,44,8.5,148,7,2,0
173,2,0,53537.0,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,55,11.2,93,6,2,0
174,0,3,52074.0,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0,47,9.0,119,6,1,1
175,2,2,80427.0,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,39,25.1,1835,27,1,0
176,2,2,83837.0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,66,24.8,1318,24,0,2
177,2,2,38853.0,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,44,7.4,45,5,2,0
178,0,0,38285.0,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,55,6.3,10,3,3,0
179,3,2,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,63,23.9,978,24,0,1
180,2,2,51650.0,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,38,1.9,191,9,1,0
181,3,2,16248.0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,26,2.9,57,6,1,0
182,1,2,66835.0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0,68,15.3,1033,23,0,0
183,1,2,30477.0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0,30,11.4,66,5,1,0
184,3,2,28249.0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0,53,6.6,43,5,0,0
185,0,2,25271.0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0,31,32.1,50,4,1,0
186,2,3,32303.0,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0,44,5.0,39,5,1,0
187,0,2,61286.0,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0,48,23.0,608,16,1,0
188,0,2,74068.0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,0,38,21.7,1581,23,0,0
189,2,2,45759.0,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,0,50,22.5,68,5,2,0
190,3,0,24882.0,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,0,36,28.1,80,4,1,1
191,2,0,66973.0,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,0,25,19.8,1282,27,0,0
193,0,2,38872.0,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,0,26,19.3,91,6,1,0
194,0,2,51148.0,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,0,41,22.7,315,12,2,0
195,0,2,31353.0,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,0,37,12.2,31,4,2,0
196,1,2,69661.0,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,0,34,7.7,834,22,0,0
197,0,2,80067.0,82,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,0,0,60,15.6,1600,16,0,1
198,0,2,86718.0,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,0,60,23.8,1270,16,0,0
199,2,3,46854.0,81,96,1,79,7,1,79,6,5,1,3,8,1,0,0,0,0,0,1,41,9.2,263,9,2,1
200,0,1,69142.0,50,448,4,34,6,4,39,3,8,1,7,5,0,1,0,0,0,0,0,62,6.2,535,16,1,1
201,0,3,75922.0,60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,0,46,15.8,1295,17,0,0
202,0,1,63693.0,63,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0,0,36,14.8,1150,26,1,0
203,2,0,102160.0,54,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,0,1,37,35.1,1240,26,0,3
204,2,3,40637.0,72,22,0,13,0,0,3,2,1,0,3,7,0,0,0,0,0,0,0,49,17.7,38,4,2,0
205,1,3,18890.0,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,0,1,30,27.0,35,3,0,1
206,0,0,29604.0,88,7,6,13,7,6,14,1,1,0,3,9,1,0,0,0,0,0,0,26,16.9,53,4,1,1
207,1,1,48721.0,50,81,18,113,47,13,21,6,4,2,5,6,0,0,0,0,0,0,0,51,19.9,293,11,2,0
208,0,2,44794.0,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,0,48,4.9,65,5,1,0
209,0,1,64497.0,17,1170,48,320,42,32,192,5,11,4,9,8,1,0,0,0,0,0,1,60,27.1,1804,24,1,1
210,0,0,46097.0,11,72,24,68,65,4,8,5,3,1,6,4,0,0,0,0,0,0,0,58,21.3,241,10,1,0
211,0,0,77972.0,18,613,22,319,33,102,12,1,4,6,9,1,0,0,0,0,0,0,0,60,9.6,1101,19,0,0
212,2,2,44377.0,70,224,0,30,0,0,10,8,5,1,5,8,0,0,0,0,0,0,0,46,32.2,264,11,2,0
213,1,0,46014.0,21,410,0,59,19,9,44,10,7,1,8,7,0,0,0,0,0,0,0,40,23.6,541,16,2,0
214,0,2,70951.0,66,239,10,554,254,87,54,1,3,4,9,1,0,0,0,0,0,0,0,29,21.2,1198,16,0,0
215,0,2,41443.0,79,171,7,171,25,19,89,6,8,1,5,8,0,0,0,0,0,0,0,37,12.0,482,14,1,0
